"10/28/2020","700.00","*","","ONLINE TRANSFER FROM DANCER LIFE INC. BUSINESS CHECKING XXXXXX8506 REF #IB094NC7RP ON 10/27/20"
"10/28/2020","62.36","*","","Square Inc 201028P2 201028 L206573789138 Stephanie Berg"
"10/27/2020","216.66","*","","Square Inc 201027P2 201027 L206573528622 Stephanie Berg"
"10/26/2020","201.80","*","","Square Inc 201026P2 201026 L206573209738 Stephanie Berg"
"10/26/2020","122.31","*","","Square Inc 201026P2 201026 L206573209737 Stephanie Berg"
"10/23/2020","90.73","*","","Square Inc 201023P2 201023 L206572625810 Stephanie Berg"
"10/22/2020","209.05","*","","Square Inc 201022P2 201022 L206572285421 Stephanie Berg"
"10/21/2020","148.85","*","","Square Inc 201021P2 201021 L206571962433 Stephanie Berg"
"10/20/2020","86.19","*","","Square Inc 201020P2 201020 L206571699573 Stephanie Berg"
"10/19/2020","69.99","*","","RECURRING PAYMENT REVERSAL ON 10/17 Evernote 650-2570885 CA S300289504905328 CARD 1820"
"10/19/2020","100.46","*","","Square Inc 201019P2 201019 L206571373296 Stephanie Berg"
"10/19/2020","98.03","*","","Square Inc 201019P2 201019 L206571373295 Stephanie Berg"
"10/16/2020","138.98","*","","Square Inc 201016P2 201016 L206570781956 Stephanie Berg"
"10/15/2020","354.41","*","","Square Inc 201015P2 201015 L206570447639 Stephanie Berg"
"10/14/2020","83.91","*","","Square Inc 201014P2 201014 L206570146485 Stephanie Berg"
"10/13/2020","233.06","*","","Square Inc 201012P2 201012 L206569623592 Stephanie Berg"
"10/13/2020","187.24","*","","Square Inc 201012P2 201012 L206569623591 Stephanie Berg"
"10/13/2020","158.41","*","","Square Inc 201013P2 201013 L206569882594 Stephanie Berg"
"10/09/2020","115.01","*","","Square Inc 201009P2 201009 L206568986488 Stephanie Berg"
"10/08/2020","130.15","*","","Square Inc 201008P2 201008 L206568649052 Stephanie Berg"
"10/07/2020","314.83","*","","Square Inc 201007P2 201007 L206568286038 Stephanie Berg"
"10/06/2020","165.07","*","","Square Inc 201006P2 201006 L206568032650 Stephanie Berg"
"10/05/2020","557.15","*","","Square Inc 201005P2 201005 L206567721199 Stephanie Berg"
"10/05/2020","328.96","*","","Square Inc 201005P2 201005 L206567721198 Stephanie Berg"
"10/02/2020","211.81","*","","Square Inc 201002P2 201002 L206567133028 Stephanie Berg"
"10/01/2020","179.33","*","","Square Inc 201001P2 201001 L206566795797 Stephanie Berg"
"09/30/2020","223.95","*","","Square Inc 200930P2 200930 L206566480039 Stephanie Berg"
"09/29/2020","624.54","*","","Square Inc 200929P2 200929 L206566206390 Stephanie Berg"
"09/28/2020","64.94","*","","Square Inc 200928P2 200928 L206565910472 Stephanie Berg"
"09/28/2020","64.64","*","","Square Inc 200928P2 200928 L206565910471 Stephanie Berg"
"09/25/2020","121.99","*","","Square Inc 200925P2 200925 L206565307980 Stephanie Berg"
"09/24/2020","108.03","*","","Square Inc 200924P2 200924 L206564962904 Stephanie Berg"
"09/23/2020","100.45","*","","Square Inc 200923P2 200923 L206564642645 Stephanie Berg"
"09/22/2020","71.62","*","","Square Inc 200922P2 200922 L206564385172 Stephanie Berg"
"09/21/2020","257.32","*","","Square Inc 200921P2 200921 L206564072145 Stephanie Berg"
"09/21/2020","214.25","*","","Square Inc 200921P2 200921 L206564072144 Stephanie Berg"
"09/18/2020","150.52","*","","Square Inc 200918P2 200918 L206563492803 Stephanie Berg"
"09/17/2020","204.53","*","","Square Inc 200917P2 200917 L206563151705 Stephanie Berg"
"09/16/2020","230.93","*","","Square Inc 200916P2 200916 L206562817729 Stephanie Berg"
"09/15/2020","130.17","*","","Square Inc 200915P2 200915 L206562586129 Stephanie Berg"
"09/14/2020","93.16","*","","Square Inc 200914P2 200914 L206562258939 Stephanie Berg"
